No.,Category,URL,Name,Description,Author,Rating,Price
1,Design,https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/,The Ultimate Drawing Course - Beginner to Advanced,Learn the #1 most important building block of all art,"Jaysen Batchelor, Quinton Batchelor",4.54082,€19.99
2,Design,https://www.udemy.com/course/character-art-school-complete-character-drawing/,Character Art School: Complete Character Drawing Course,"Learn How to Draw People and Character Designs Professionally, Drawing for Animation, Comics, Cartoons, Games and More!",Scott Harris,4.51255,€20.99
3,Design,https://www.udemy.com/course/blendertutorial/,Complete Blender Creator: Learn 3D Modelling for Beginners,"Use Blender to Create Beautiful 3D models for Video Games, 3D Printing & More. Beginners Level Course","GameDev.tv Team, Rick Davidson",4.60596,€24.99
4,Design,https://www.udemy.com/course/designit-design-thinking/,Design Thinking in 3 Steps,"Understand your audience, envision a creative solution, and test your prototype","Designit Strategic Design, Alan Cooper",4.44365,€189.99
5,Design,https://www.udemy.com/course/illustrator-cc-masterclass/,Illustrator CC 2020 MasterClass,Master Adobe Illustrator CC with this in-depth training for all levels.,Martin Perhiniak,4.5751,€19.99
6,Design,https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/,User Experience Design Essentials - Adobe XD UI UX Design,"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design","Daniel Walter Scott, Instructor HQ",4.61084,€20.99
7,Design,https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/,Ultimate Photoshop Training: From Beginner to Pro,Master Photoshop CC 2020 without any previous knowledge with this easy-to-follow course,Cristian Doru Barin,4.64022,€19.99
8,Design,https://www.udemy.com/course/after-effects-kinetic-typography/,After Effects CC 2020: Complete Course from Novice to Expert,"Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with hands-on tutorials & 50+ practice projects.",Louay Zambarakji,4.62361,€22.99
9,Design,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/,Graphic Design Masterclass - Learn GREAT Design,"The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design",Lindsay Marsh,4.63559,€18.99
10,Design,https://www.udemy.com/course/adobe-photoshop-course/,Adobe Photoshop CC: Your Complete Beginner to Advanced Class,Learn the essential tools of Adobe Photoshop CC to jump right in and design beautiful graphics and photos in Photoshop.,"Phil Ebiner, Video School",4.53908,€22.99
11,Design,https://www.udemy.com/course/wordpress-for-beginners-course/,Wordpress for Beginners - Master Wordpress Quickly,"In 2020, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.",Andrew Williams,4.47302,€22.99
12,Design,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/,Adobe Photoshop CC – Essentials Training Course,This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.,"Daniel Walter Scott, Instructor HQ",4.71644,€18.99
13,Design,https://www.udemy.com/course/autocad-2018-course/,The complete AutoCAD 2018-21 course,A complete course for learning AutoCAD from scratch to professional level,Jaiprakash Pandey,4.57762,€19.99
